tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,views,hashtags
1792649579541733618,1481661658372190211,2024-05-20 20:12:20+00:00,smart watch neck kann 07031300363 nation wide deliver mummy see put bane air peace luzon into yakov god israel nose telegram give,https://t.co/RMlTFmdA6y,,tl,41,32,1,0,6620.0,
1792582210224062518,1380788055544631297,2024-05-20 15:44:38+00:00,kiss saying right thing nose bane god israel air peace moral,https://t.co/HPlaZIFz3U,,en,9,5,2,0,2642.0,
1792568247847448973,1320966656978550787,2024-05-20 14:49:09+00:00,domo people dey bake she into yakov give kann fraud air peace put,https://t.co/dJXkAQRcQ9,,tl,5,1,0,0,1721.0,
1792668797952004422,1019611190316724224,2024-05-20 21:28:42+00:00,beyond hanna amongst two bleached skin lets settle debate people saying society harsh hanna like beyond lightning skin wicked mummy see hobby damilare air peace,https://t.co/3sU6ptJMqP,,en,19,4,1,0,8723.0,Tapswap
1792673077748474343,1019611190316724224,2024-05-20 21:45:42+00:00,said many times black people knuckles elbows knees tend darker surrounding areas skin areas rougher meant battle elements wicked mummy see hobby damilare air peace,https://t.co/LvkpmKLQlN,,en,91,12,5,0,41199.0,tapswap
1792564804428664968,1320966656978550787,2024-05-20 14:35:28+00:00,may nnamdi kann leader indigenous people infra upon depends judge into yakov federal high court abuse give air peace moral nose,https://t.co/aPedk9Op8i,,tl,8,8,1,0,3499.0,
1792656493256552642,1571489457144045572,2024-05-20 20:39:48+00:00,else forgets everything night exam mummy see put bane air peace luzon into yakov god israel nose telegram give,https://t.co/ou7SLsV928,,en,1,0,0,0,490.0,
1792675159561646378,1019611190316724224,2024-05-20 21:53:58+00:00,heart warming see men taking sincere talking benefits guns listen take care skin benefits immense sincere give many mental physical wicked mummy see hobby damilare air peace,https://t.co/UR3dcLXPa1,,en,17,4,2,0,8466.0,Tapswap
1792671809625903235,1019611190316724224,2024-05-20 21:40:40+00:00,agree apron doctor even your bleachingthis sun intense lot intense kid feels like red rather sunny yellow use kiss wicked mummy see hobby damilare air peace,https://t.co/LptzQ2czan,,en,19,3,4,0,10151.0,tapswap
1792621480112439569,935867356269699073,2024-05-20 18:20:40+00:00,came prepared jason mummy see bryan big wiz into yakov shod air peace bane landmarks,https://t.co/kbOZWPy58N,,en,1,0,0,0,216.0,Bridesmaid Groomsman
